held_out_pair_id,contrast,feature,mean_difference_without_pair,full_mean_difference
dyad_010,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.26915020437250137,0.2620822507870128
dyad_011,S1_vs_S2,p1_task_gaze_transition_count_session_mean,0.23390903256674495,0.2620822507870128
dyad_001,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.05052290633724932,0.05047259734886867
dyad_002,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.060314748308692934,0.05047259734886867
dyad_003,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.046341335691428544,0.05047259734886867
dyad_004,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.04805463290108748,0.05047259734886867
dyad_005,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.0525854889586417,0.05047259734886867
dyad_006,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.0534165872010649,0.05047259734886867
dyad_007,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.04490287638979288,0.05047259734886867
dyad_008,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.04383683405533624,0.05047259734886867
dyad_009,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.049329257069884794,0.05047259734886867
dyad_010,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.055669238137288024,0.05047259734886867
dyad_011,S1_vs_S3,p2_gaze_pitch_mean_session_mean,0.05022466578708862,0.05047259734886867
