session_label,window_idx,cluster
20260505_192656_order4,3300,3
20260505_192656_order4,3330,5
20260505_192656_order4,3360,5
20260505_192656_order4,3390,5
20260505_192656_order4,3420,5
20260505_192656_order4,3450,3
20260505_192656_order4,3480,5
20260505_192656_order4,3510,5
20260505_192656_order4,3540,5
20260505_192656_order4,3690,5
20260505_192656_order4,3720,4
20260505_192656_order4,3750,4
20260505_192656_order4,3780,4
20260505_192656_order4,4020,5
20260505_192656_order4,4050,5
20260505_192656_order4,4080,3
20260505_192656_order4,4110,5
20260505_192656_order4,4140,5
20260505_192656_order4,4170,5
20260505_192656_order4,4200,5
20260505_192656_order4,4590,4
20260505_192656_order4,4620,4
20260505_192656_order4,4650,4
20260505_192656_order4,4680,5
20260505_192656_order4,4710,5
20260507_134304_order1,0,0
20260507_134304_order1,30,1
20260507_134304_order1,60,0
20260507_134304_order1,90,2
20260507_134304_order1,570,2
20260507_134304_order1,600,0
20260507_134304_order1,630,2
20260507_134304_order1,660,2
20260507_134304_order1,690,2
20260507_134304_order1,720,2
20260507_134304_order1,750,1
20260507_134304_order1,780,0
20260507_134304_order1,930,2
20260507_134304_order1,960,3
20260507_134304_order1,1200,4
20260507_134304_order1,1230,4
20260507_134304_order1,1260,5
20260507_134304_order1,1290,5
20260507_134304_order1,1320,4
20260507_134304_order1,1350,4
20260507_134304_order1,1380,4
20260507_134304_order1,1410,3
20260507_134304_order1,1440,4
20260507_134304_order1,1470,4
20260507_134304_order1,1500,3
20260507_134304_order1,1800,4
20260507_134304_order1,1830,4
20260507_134304_order1,1860,4
20260507_134304_order1,1890,4
20260507_134304_order1,1920,4
20260507_134304_order1,2460,4
20260507_134304_order1,2490,4
20260507_134304_order1,2520,4
20260507_134304_order1,2550,4
20260507_134304_order1,2580,2
20260507_134304_order1,2610,2
20260507_134304_order1,2640,4
20260507_134304_order1,2670,2
20260507_134304_order1,2700,2
20260507_134304_order1,2820,4
20260507_134304_order1,2850,4
20260507_134304_order1,3390,4
20260507_134304_order1,3420,4
20260507_134304_order1,3450,4
20260507_134304_order1,3480,4
20260507_134304_order1,3510,2
